,time,text,url
21,Thu Oct 07 18:53:50 +0000 2021,"Watch: 3-Storey Building Collapses In #Bengaluru 

Read more: https://t.co/zbf0Ol5imd https://t.co/mEwNMifKny",https://www.ndtv.com/karnataka-news/watch-3-storey-building-collapses-in-bengaluru-2567752
22,Thu Oct 07 18:52:21 +0000 2021,"#FYI | Nasser Salim (@nassersalim001), Managing Partner-Flexi Capital, on RBI’s new auto-debit rules https://t.co/o5YP2sujXo",
23,Thu Oct 07 18:49:48 +0000 2021,"#TrendingTonight | @_YogendraYadav, National President, Swaraj India, on #LakhimpurKheriViolence https://t.co/BN6372hh3e",
24,Thu Oct 07 18:47:54 +0000 2021,"#LeftRightCentre | “NCB officials told me that I have to sign as a witness”: Manish Bhanushali, BJP 'worker'… https://t.co/rTIYriaevL",https://twitter.com/i/web/status/1446185532682211341
25,Thu Oct 07 18:40:31 +0000 2021,"IPL 2021, #KKRvsRR: Kolkata Knight Riders Beat Rajasthan Royals By 86 Runs, Take Giant Step Towards Playoffs… https://t.co/Xw5Vi7zMLA",https://twitter.com/i/web/status/1446183673271750679
26,Thu Oct 07 18:37:55 +0000 2021,Wrestler #AnshuMalik Becomes First Indian Woman To Win World Championships Silver https://t.co/5mOAmKUrKk https://t.co/r2hqoIPTnx,https://sports.ndtv.com/wrestling/wrestler-anshu-malik-becomes-first-indian-woman-to-win-world-championships-silver-2567667
27,Thu Oct 07 18:35:59 +0000 2021,Anti-Narcotics Body Arrests Nigerian National In Drugs-On-Cruise Case https://t.co/zwXoKkYpAM https://t.co/bkS1gqcxSN,https://ndtv.com/india-news/narcotics-control-bureau-arrests-nigerian-national-in-drugs-on-cruise-case-2567711
28,Thu Oct 07 18:35:33 +0000 2021,"""Our Daughter Asked Him Not To Go Out"": Wife Of Teacher Killed In #Kashmir https://t.co/UJa64sVxqf https://t.co/gVo4orQjN2",https://ndtv.com/india-news/our-daughter-asked-him-not-to-go-out-wife-of-teacher-killed-in-kashmir-2567617
29,Thu Oct 07 18:34:46 +0000 2021,"""No Justice For Common People"": #PriyankaGandhi Vadra Hits Out At Centre https://t.co/eHKp3kFr6J https://t.co/eQxYEXbuDs",https://ndtv.com/india-news/no-justice-for-common-people-priyanka-gandhi-vadra-hits-out-at-centre-on-lakhimpur-kheri-violence-2567787
30,Thu Oct 07 18:27:58 +0000 2021,Air Force Day Parade Flypast To Commemorate 1971 War Victory https://t.co/FxX6kV9RzG https://t.co/HRN4KNl14i,https://ndtv.com/india-news/iaf-day-parade-flypast-to-commemorate-indian-victory-over-pakistan-in-1971-war-2567737
31,Thu Oct 07 18:27:41 +0000 2021,#Pfizer Seeks US Authorization Of Covid Vaccine For Ages 5-11 https://t.co/PUsa2UiXq4 https://t.co/ZXO4SOnF73,https://ndtv.com/world-news/pfizer-seeks-us-authorization-of-covid-vaccine-for-ages-5-11-2567775
32,Thu Oct 07 18:27:11 +0000 2021,Watch: 3-Storey Building Collapses In #Bengaluru https://t.co/HDUKXy5OpO https://t.co/dsL8Hgg26N,https://ndtv.com/karnataka-news/watch-3-storey-building-collapses-in-bengaluru-2567752
