,retweet_count,retweet_count,favorite_count,favorite_count
,mean,mean,mean,mean
classification,neg,pos,neg,pos
topic,,,,
Education,1.44,0.4,6.4799999999999995,8.742857142857144
Governance,2.1908847184986593,2.3156089193825045,15.962466487935657,20.277873070325903
International,2.1333333333333333,0.0,11.2,0.0
Law & Order,6.752153110047847,5.7,39.34354066985646,39.225
National,4.527272727272727,3.3866666666666667,40.36363636363636,30.439999999999998
Regional,3.1587188612099646,2.5911330049261085,25.958718861209963,25.04039408866995
Security,5.5125,1.8666666666666667,31.65625,18.666666666666664
Sports,1.5846153846153848,1.3977011494252873,15.676923076923078,15.739463601532567
