,count,count
Vader_Analysis,Negative,Positive
topic,,
Domestic,11.0,17.0
Economics,37.0,65.0
Governance,12.0,3.0
International,213.0,213.0
Law & Order,3.0,0.0
Politics,224.0,135.0
Regional,152.0,68.0
Security,5.0,7.0
Technology,0.0,1.0
Vaccine,102.0,103.0
