topic,Vader_Analysis,retweet_count,favorite_count
Domestic,28,11.157142857142857,66.35714285714286
Economics,102,2.9529411764705884,11.384313725490196
Governance,15,4.266666666666667,14.426666666666668
International,426,2.692957746478873,9.20281690140845
Law & Order,3,18.533333333333335,144.4
Politics,359,15.081894150417828,71.38830083565459
Regional,220,6.927272727272727,28.905454545454546
Security,12,5.2,21.266666666666666
Technology,1,2.8,0.0
Vaccine,205,2.977560975609756,10.448780487804878
