time,text,url,retweet_count,favorite_count
Thu Sep 30 02:34:05 +0000 2021,'Pawan Kalyan speaking out of frustration': YSRCP on being accused of targeting Dalits https://t.co/THX7AwHM0n,https://www.republicworld.com/india-news/politics/pawan-kalyan-speaking-out-of-frustration-ysrcp-on-being-accused-of-targeting-dalits.html,7,63
Thu Sep 30 02:24:35 +0000 2021,Yogi Adityanath to meet kin of Kanpur businessman killed in police raid; 6 cops suspended https://t.co/zKcBpWiL0T,https://www.republicworld.com/india-news/general-news/yogi-adityanath-to-meet-kin-of-kanpur-businessman-killed-in-police-raid-6-cops-suspended.html,20,211
Thu Sep 30 02:18:32 +0000 2021,BSP-turned-Congress MLAs link support for Rajasthan govt to Cabinet rejig; key meet today https://t.co/OVahmElFTu,https://www.republicworld.com/india-news/politics/bsp-turned-congress-mlas-link-support-for-rajasthan-govt-to-cabinet-rejig-key-meet-today.html,2,28
Thu Sep 30 02:15:55 +0000 2021,Bhabanipur bypolls: BJP's Priyanka Tibrewal says 'state govt in fear' as voting begins https://t.co/IqTb0PXf8B,https://www.republicworld.com/india-news/politics/bhabanipur-bypolls-bjps-priyanka-tibrewal-says-state-govt-in-fear-as-voting-begins.html,7,71
Thu Sep 30 02:15:27 +0000 2021,US House Armed Services Committee confirms no payments made to Taliban during evacuation https://t.co/jINJCyiORR,https://www.republicworld.com/world-news/us-news/us-house-armed-services-committee-confirms-no-payments-made-to-taliban-during-evacuation.html,2,25
Thu Sep 30 02:03:19 +0000 2021,"Pakistan stocks dip nearly 3% after US moves Bill proposing sanctions on Taliban, partners https://t.co/LrDPcmUNFO",https://www.republicworld.com/world-news/pakistan-news/pakistan-stocks-dip-nearly-3-percent-after-us-moves-bill-proposing-sanctions-on-taliban-partners.html,45,394
Thu Sep 30 01:39:23 +0000 2021,"West Bengal bypolls: Voting begins in three constituencies, Bhabanipur in spotlight https://t.co/MD0FsV6g4b",https://www.republicworld.com/india-news/elections/west-bengal-bypolls-voting-begins-in-three-constituencies-bhabanipur-in-spotlight.html,5,41
Thu Sep 30 01:34:30 +0000 2021,Indian Air Force to mark 89th anniversary with 'scintillating display' on Oct 8 https://t.co/qpEIkU9ipX,https://www.republicworld.com/india-news/general-news/indian-air-force-to-mark-89th-anniversary-with-scintillating-display-on-oct-8.html,11,84
Thu Sep 30 00:55:08 +0000 2021,Afghanistan: Indian businessman kidnapped from Kabul released after 15 days https://t.co/jBb4kPS4xB,https://www.republicworld.com/world-news/rest-of-the-world-news/afghanistan-indian-businessman-kidnapped-from-kabul-released-after-15-days.html,13,96
Thu Sep 30 00:51:06 +0000 2021,European Commission urges Kosovo &amp; Serbia to solve disputes through dialogue https://t.co/D9LmxG572L,https://www.republicworld.com/world-news/europe/european-commission-urges-kosovo-and-serbia-to-solve-disputes-through-dialogue.html,1,25
Thu Sep 30 00:46:46 +0000 2021,"Afghanistan migrant crisis: Visa applications of 60,000 Afghans under review, says MHA https://t.co/DazUtvNNFD",https://www.republicworld.com/world-news/rest-of-the-world-news/afghanistan-migrant-crisis-visa-applications-of-60000-afghans-under-review-says-mha.html,4,43
Wed Sep 29 22:59:20 +0000 2021,AP source: Jets S Maye sidelined 3-4 weeks with ankle injury https://t.co/nHzfmnEri3,https://www.republicworld.com/sports-news/football-news/ap-source-jets-s-maye-sidelined-3-4-weeks-with-ankle-injury.html,0,6
Wed Sep 29 21:37:51 +0000 2021,Juventus beats defending champion Chelsea 1-0 in CL https://t.co/AXd8VG4d99,https://www.republicworld.com/sports-news/football-news/juventus-beats-defending-champion-chelsea-1-0-in-cl.html,0,11
Wed Sep 29 21:26:05 +0000 2021,Record-breaker Ronaldo scores late winner for United in CL https://t.co/w6IF4Zmvnd,https://www.republicworld.com/sports-news/football-news/record-breaker-ronaldo-scores-late-winner-for-united-in-cl.html,3,30
Wed Sep 29 21:22:40 +0000 2021,Barçelona loses again in CL with 3-0 defeat to Benfica https://t.co/cdzN1rFRil,https://www.republicworld.com/sports-news/football-news/barcelona-loses-again-in-cl-with-3-0-defeat-to-benfica.html,1,13
Wed Sep 29 19:27:57 +0000 2021,'Skin-to-Skin Contact': A-G Venugopal tells SC 'children most vulnerable to sexual crimes' https://t.co/OmLxPl45iF,https://www.republicworld.com/india-news/law-and-order/skin-to-skin-contact-a-g-venugopal-tells-sc-children-most-vulnerable-to-sexual-crimes.html,8,27
